name	fq1	fq2	group
SRR23955793	/data/mengxf/Project/KML241111_RNAseq_pipeline/rawdata/SRR23955793_1.100k.fastq.gz	/data/mengxf/Project/KML241111_RNAseq_pipeline/rawdata/SRR23955793_2.100k.fastq.gz	A
SRR23955884	/data/mengxf/Project/KML241111_RNAseq_pipeline/rawdata/SRR23955884_1.100k.fastq.gz	/data/mengxf/Project/KML241111_RNAseq_pipeline/rawdata/SRR23955884_2.100k.fastq.gz	A
SRR23955887	/data/mengxf/Project/KML241111_RNAseq_pipeline/rawdata/SRR23955887_1.100k.fastq.gz	/data/mengxf/Project/KML241111_RNAseq_pipeline/rawdata/SRR23955887_2.100k.fastq.gz	B
SRR23955826	/data/mengxf/Project/KML241111_RNAseq_pipeline/rawdata/SRR23955826_1.100k.fastq.gz	/data/mengxf/Project/KML241111_RNAseq_pipeline/rawdata/SRR23955826_2.100k.fastq.gz	B
